38019 silly lifecycle postcss-modules-scope@1.1.0~preinstall: no script for preinstall, continuing
40926 silly move remove existing destination /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-code-frame/node_modules/strip-ansi
40927 silly move make sure destination parent exists /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-code-frame/node_modules
40928 silly move move source node_modules away /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-traverse/node_modules/strip-ansi/node_modules
40929 silly move move module dir to final dest /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-traverse/node_modules/strip-ansi /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-code-frame/node_modules/strip-ansi
40930 info lifecycle strip-ansi@3.0.1~preinstall: strip-ansi@3.0.1
40931 silly lifecycle strip-ansi@3.0.1~preinstall: no script for preinstall, continuing
40932 silly move /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-core/node_modules/supports-color /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-code-frame/node_modules/supports-color
40933 info lifecycle supports-color@2.0.0~preuninstall: supports-color@2.0.0
40934 silly lifecycle supports-color@2.0.0~preuninstall: no script for preuninstall, continuing
40935 info lifecycle supports-color@2.0.0~uninstall: supports-color@2.0.0
40936 silly lifecycle supports-color@2.0.0~uninstall: no script for uninstall, continuing
40937 verbose unbuild rmStuff supports-color@2.0.0 from /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules
40938 verbose unbuild rmStuff in /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-core/node_modules
40939 info lifecycle supports-color@2.0.0~postuninstall: supports-color@2.0.0
40940 silly lifecycle supports-color@2.0.0~postuninstall: no script for postuninstall, continuing
40941 silly move move existing destination node_modules away /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-code-frame/node_modules/supports-color/node_modules
40942 silly move remove existing destination /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-code-frame/node_modules/supports-color
40943 silly move make sure destination parent exists /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-code-frame/node_modules
40944 silly move move source node_modules away /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-core/node_modules/supports-color/node_modules
40945 silly move move module dir to final dest /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-core/node_modules/supports-color /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-code-frame/node_modules/supports-color
40946 info lifecycle supports-color@2.0.0~preinstall: supports-color@2.0.0
40947 silly lifecycle supports-color@2.0.0~preinstall: no script for preinstall, continuing
40948 silly move /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-core/node_modules/chalk /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-code-frame/node_modules/chalk
40949 info lifecycle chalk@1.1.3~preuninstall: chalk@1.1.3
40950 silly lifecycle chalk@1.1.3~preuninstall: no script for preuninstall, continuing
40951 info lifecycle chalk@1.1.3~uninstall: chalk@1.1.3
40952 silly lifecycle chalk@1.1.3~uninstall: no script for uninstall, continuing
40953 verbose unbuild rmStuff chalk@1.1.3 from /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules
40954 verbose unbuild rmStuff in /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-core/node_modules
40955 info lifecycle chalk@1.1.3~postuninstall: chalk@1.1.3
40956 silly lifecycle chalk@1.1.3~postuninstall: no script for postuninstall, continuing
40957 silly move move existing destination node_modules away /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-code-frame/node_modules/chalk/node_modules
40958 silly move remove existing destination /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-code-frame/node_modules/chalk
40959 silly move make sure destination parent exists /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-code-frame/node_modules
40960 silly move move source node_modules away /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-core/node_modules/chalk/node_modules
40961 silly move move module dir to final dest /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-core/node_modules/chalk /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-code-frame/node_modules/chalk
40962 info lifecycle chalk@1.1.3~preinstall: chalk@1.1.3
40963 silly lifecycle chalk@1.1.3~preinstall: no script for preinstall, continuing
40964 silly move /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-core/node_modules/babel-code-frame /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-code-frame
40965 info lifecycle babel-code-frame@6.26.0~preuninstall: babel-code-frame@6.26.0
40966 silly lifecycle babel-code-frame@6.26.0~preuninstall: no script for preuninstall, continuing
40967 info lifecycle babel-code-frame@6.26.0~uninstall: babel-code-frame@6.26.0
40968 silly lifecycle babel-code-frame@6.26.0~uninstall: no script for uninstall, continuing
40969 verbose unbuild rmStuff babel-code-frame@6.26.0 from /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules
40970 verbose unbuild rmStuff in /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-core/node_modules
40971 info lifecycle babel-code-frame@6.26.0~postuninstall: babel-code-frame@6.26.0
40972 silly lifecycle babel-code-frame@6.26.0~postuninstall: no script for postuninstall, continuing
40973 silly move move existing destination node_modules away /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-code-frame/node_modules
40974 silly move remove existing destination /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-code-frame
40975 silly move make sure destination parent exists /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules
40976 silly move move source node_modules away /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-core/node_modules/babel-code-frame/node_modules
40977 silly move move module dir to final dest /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-core/node_modules/babel-code-frame /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-code-frame
40978 silly move move existing destination node_modules back /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/babel-code-frame/node_modules
40979 info lifecycle babel-code-frame@6.26.0~preinstall: babel-code-frame@6.26.0
40980 silly lifecycle babel-code-frame@6.26.0~preinstall: no script for preinstall, continuing
40981 silly move /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/raw-body/node_modules/depd /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/body-parser/node_modules/raw-body/node_modules/depd
40982 info lifecycle depd@1.1.1~preuninstall: depd@1.1.1
40983 silly lifecycle depd@1.1.1~preuninstall: no script for preuninstall, continuing
40984 info lifecycle depd@1.1.1~uninstall: depd@1.1.1
40985 silly lifecycle depd@1.1.1~uninstall: no script for uninstall, continuing
40986 verbose unbuild rmStuff depd@1.1.1 from /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules
40987 verbose unbuild rmStuff in /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/raw-body/node_modules
40988 info lifecycle depd@1.1.1~postuninstall: depd@1.1.1
40989 silly lifecycle depd@1.1.1~postuninstall: no script for postuninstall, continuing
40990 silly move move existing destination node_modules away /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/body-parser/node_modules/raw-body/node_modules/depd/node_modules
40991 silly move remove existing destination /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/body-parser/node_modules/raw-body/node_modules/depd
40992 silly move make sure destination parent exists /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/body-parser/node_modules/raw-body/node_modules
40993 silly move move source node_modules away /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/raw-body/node_modules/depd/node_modules
40994 silly move move module dir to final dest /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/raw-body/node_modules/depd /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/body-parser/node_modules/raw-body/node_modules/depd
40995 info lifecycle depd@1.1.1~preinstall: depd@1.1.1
40996 silly lifecycle depd@1.1.1~preinstall: no script for preinstall, continuing
40997 silly move /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/raw-body/node_modules/setprototypeof /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/body-parser/node_modules/setprototypeof
40998 info lifecycle setprototypeof@1.0.3~preuninstall: setprototypeof@1.0.3
40999 silly lifecycle setprototypeof@1.0.3~preuninstall: no script for preuninstall, continuing
41000 info lifecycle setprototypeof@1.0.3~uninstall: setprototypeof@1.0.3
41001 silly lifecycle setprototypeof@1.0.3~uninstall: no script for uninstall, continuing
41002 verbose unbuild rmStuff setprototypeof@1.0.3 from /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules
41003 verbose unbuild rmStuff in /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/raw-body/node_modules
41004 info lifecycle setprototypeof@1.0.3~postuninstall: setprototypeof@1.0.3
41005 silly lifecycle setprototypeof@1.0.3~postuninstall: no script for postuninstall, continuing
41006 silly move move existing destination node_modules away /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/body-parser/node_modules/setprototypeof/node_modules
41007 silly move remove existing destination /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/body-parser/node_modules/setprototypeof
41008 silly move make sure destination parent exists /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/body-parser/node_modules
41009 silly move move source node_modules away /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/raw-body/node_modules/setprototypeof/node_modules
41010 silly move move module dir to final dest /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/raw-body/node_modules/setprototypeof /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/body-parser/node_modules/setprototypeof
41011 info lifecycle setprototypeof@1.0.3~preinstall: setprototypeof@1.0.3
41012 silly lifecycle setprototypeof@1.0.3~preinstall: no script for preinstall, continuing
41013 silly move /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/raw-body/node_modules/http-errors /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/body-parser/node_modules/raw-body/node_modules/http-errors
41014 info lifecycle http-errors@1.6.2~preuninstall: http-errors@1.6.2
41015 silly lifecycle http-errors@1.6.2~preuninstall: no script for preuninstall, continuing
41016 info lifecycle http-errors@1.6.2~uninstall: http-errors@1.6.2
41017 silly lifecycle http-errors@1.6.2~uninstall: no script for uninstall, continuing
41018 verbose unbuild rmStuff http-errors@1.6.2 from /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules
41019 verbose unbuild rmStuff in /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/raw-body/node_modules
41020 info lifecycle http-errors@1.6.2~postuninstall: http-errors@1.6.2
41021 silly lifecycle http-errors@1.6.2~postuninstall: no script for postuninstall, continuing
41022 silly move move existing destination node_modules away /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/body-parser/node_modules/raw-body/node_modules/http-errors/node_modules
41023 silly move remove existing destination /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/body-parser/node_modules/raw-body/node_modules/http-errors
41024 silly move make sure destination parent exists /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/body-parser/node_modules/raw-body/node_modules
41025 silly move move source node_modules away /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/raw-body/node_modules/http-errors/node_modules
41026 silly move move module dir to final dest /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/raw-body/node_modules/http-errors /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/body-parser/node_modules/raw-body/node_modules/http-errors
41027 info lifecycle http-errors@1.6.2~preinstall: http-errors@1.6.2
41028 silly lifecycle http-errors@1.6.2~preinstall: no script for preinstall, continuing
41029 silly move /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/base/node_modules/define-property /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/chokidar/node_modules/base/node_modules/define-property
41030 info lifecycle define-property@1.0.0~preuninstall: define-property@1.0.0
41031 silly lifecycle define-property@1.0.0~preuninstall: no script for preuninstall, continuing
41032 info lifecycle define-property@1.0.0~uninstall: define-property@1.0.0
41033 silly lifecycle define-property@1.0.0~uninstall: no script for uninstall, continuing
41034 verbose unbuild rmStuff define-property@1.0.0 from /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules
41035 verbose unbuild rmStuff in /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/base/node_modules
41036 info lifecycle define-property@1.0.0~postuninstall: define-property@1.0.0
41037 silly lifecycle define-property@1.0.0~postuninstall: no script for postuninstall, continuing
41038 silly move move existing destination node_modules away /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/chokidar/node_modules/base/node_modules/define-property/node_modules
41039 silly move remove existing destination /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/chokidar/node_modules/base/node_modules/define-property
41040 silly move make sure destination parent exists /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/chokidar/node_modules/base/node_modules
41041 silly move move source node_modules away /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/base/node_modules/define-property/node_modules
41042 silly move move module dir to final dest /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/base/node_modules/define-property /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/chokidar/node_modules/base/node_modules/define-property
41043 info lifecycle define-property@1.0.0~preinstall: define-property@1.0.0
41044 silly lifecycle define-property@1.0.0~preinstall: no script for preinstall, continuing
41045 silly move /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/handlebars/node_modules/async /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/istanbul-reports/node_modules/async
41046 info lifecycle async@1.5.2~preuninstall: async@1.5.2
41047 silly lifecycle async@1.5.2~preuninstall: no script for preuninstall, continuing
41048 info lifecycle async@1.5.2~uninstall: async@1.5.2
41049 silly lifecycle async@1.5.2~uninstall: no script for uninstall, continuing
41050 verbose unbuild rmStuff async@1.5.2 from /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules
41051 verbose unbuild rmStuff in /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/handlebars/node_modules
41052 info lifecycle async@1.5.2~postuninstall: async@1.5.2
41053 silly lifecycle async@1.5.2~postuninstall: no script for postuninstall, continuing
41054 silly move move existing destination node_modules away /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/istanbul-reports/node_modules/async/node_modules
41055 silly move remove existing destination /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/istanbul-reports/node_modules/async
41056 silly move make sure destination parent exists /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/istanbul-reports/node_modules
41057 silly move move source node_modules away /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/handlebars/node_modules/async/node_modules
41058 silly move move module dir to final dest /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/handlebars/node_modules/async /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/istanbul-reports/node_modules/async
41059 info lifecycle async@1.5.2~preinstall: async@1.5.2
41060 silly lifecycle async@1.5.2~preinstall: no script for preinstall, continuing
41061 silly move /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/handlebars/node_modules/camelcase /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/istanbul-reports/node_modules/camelcase
41062 info lifecycle camelcase@1.2.1~preuninstall: camelcase@1.2.1
41063 silly lifecycle camelcase@1.2.1~preuninstall: no script for preuninstall, continuing
41064 info lifecycle camelcase@1.2.1~uninstall: camelcase@1.2.1
41065 silly lifecycle camelcase@1.2.1~uninstall: no script for uninstall, continuing
41066 verbose unbuild rmStuff camelcase@1.2.1 from /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules
41067 verbose unbuild rmStuff in /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/handlebars/node_modules
41068 info lifecycle camelcase@1.2.1~postuninstall: camelcase@1.2.1
41069 silly lifecycle camelcase@1.2.1~postuninstall: no script for postuninstall, continuing
41070 silly move move existing destination node_modules away /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/istanbul-reports/node_modules/camelcase/node_modules
41071 silly move remove existing destination /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/istanbul-reports/node_modules/camelcase
41072 silly move make sure destination parent exists /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/istanbul-reports/node_modules
41073 silly move move source node_modules away /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/handlebars/node_modules/camelcase/node_modules
41074 silly move move module dir to final dest /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/handlebars/node_modules/camelcase /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/istanbul-reports/node_modules/camelcase
41075 info lifecycle camelcase@1.2.1~preinstall: camelcase@1.2.1
41076 silly lifecycle camelcase@1.2.1~preinstall: no script for preinstall, continuing
41077 silly move /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/handlebars/node_modules/source-map /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/istanbul-reports/node_modules/source-map
41078 info lifecycle source-map@0.4.4~preuninstall: source-map@0.4.4
41079 silly lifecycle source-map@0.4.4~preuninstall: no script for preuninstall, continuing
41080 info lifecycle source-map@0.4.4~uninstall: source-map@0.4.4
41081 silly lifecycle source-map@0.4.4~uninstall: no script for uninstall, continuing
41082 verbose unbuild rmStuff source-map@0.4.4 from /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules
41083 verbose unbuild rmStuff in /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/handlebars/node_modules
41084 info lifecycle source-map@0.4.4~postuninstall: source-map@0.4.4
41085 silly lifecycle source-map@0.4.4~postuninstall: no script for postuninstall, continuing
41086 silly move move existing destination node_modules away /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/istanbul-reports/node_modules/source-map/node_modules
41087 silly move remove existing destination /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/istanbul-reports/node_modules/source-map
41088 silly move make sure destination parent exists /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/istanbul-reports/node_modules
41089 silly move move source node_modules away /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/handlebars/node_modules/source-map/node_modules
41090 silly move move module dir to final dest /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/handlebars/node_modules/source-map /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/istanbul-reports/node_modules/source-map
41091 info lifecycle source-map@0.4.4~preinstall: source-map@0.4.4
41092 silly lifecycle source-map@0.4.4~preinstall: no script for preinstall, continuing
41093 silly move /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/jsdom/node_modules/acorn /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/jest-environment-jsdom/node_modules/acorn
41094 info lifecycle acorn@4.0.13~preuninstall: acorn@4.0.13
41095 silly lifecycle acorn@4.0.13~preuninstall: no script for preuninstall, continuing
41096 info lifecycle acorn@4.0.13~uninstall: acorn@4.0.13
41097 silly lifecycle acorn@4.0.13~uninstall: no script for uninstall, continuing
41098 verbose unbuild rmStuff acorn@4.0.13 from /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules
41099 verbose unbuild rmStuff in /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/jsdom/node_modules
41100 silly gentlyRm /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/jsdom/node_modules/.bin/acorn is being gently removed from base /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/jsdom/node_modules/acorn
41101 info lifecycle acorn@4.0.13~postuninstall: acorn@4.0.13
41102 silly lifecycle acorn@4.0.13~postuninstall: no script for postuninstall, continuing
41103 silly move move existing destination node_modules away /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/jest-environment-jsdom/node_modules/acorn/node_modules
41104 silly move remove existing destination /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/jest-environment-jsdom/node_modules/acorn
41105 silly move make sure destination parent exists /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/jest-environment-jsdom/node_modules
41106 silly move move source node_modules away /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/jsdom/node_modules/acorn/node_modules
41107 silly move move module dir to final dest /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/jsdom/node_modules/acorn /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/jest-environment-jsdom/node_modules/acorn
41108 info lifecycle acorn@4.0.13~preinstall: acorn@4.0.13
41109 silly lifecycle acorn@4.0.13~preinstall: no script for preinstall, continuing
41110 silly move /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/escodegen/node_modules/esprima /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/jest-environment-jsdom/node_modules/esprima
41111 info lifecycle esprima@3.1.3~preuninstall: esprima@3.1.3
41112 silly lifecycle esprima@3.1.3~preuninstall: no script for preuninstall, continuing
41113 info lifecycle esprima@3.1.3~uninstall: esprima@3.1.3
41114 silly lifecycle esprima@3.1.3~uninstall: no script for uninstall, continuing
41115 verbose unbuild rmStuff esprima@3.1.3 from /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules
41116 verbose unbuild rmStuff in /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/escodegen/node_modules
41117 silly gentlyRm /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/escodegen/node_modules/.bin/esparse is being gently removed from base /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/escodegen/node_modules/esprima
41118 silly gentlyRm /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/escodegen/node_modules/.bin/esvalidate is being gently removed from base /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/escodegen/node_modules/esprima
41119 info lifecycle esprima@3.1.3~postuninstall: esprima@3.1.3
41120 silly lifecycle esprima@3.1.3~postuninstall: no script for postuninstall, continuing
41121 silly move move existing destination node_modules away /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/jest-environment-jsdom/node_modules/esprima/node_modules
41122 silly move remove existing destination /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/jest-environment-jsdom/node_modules/esprima
41123 silly move make sure destination parent exists /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/jest-environment-jsdom/node_modules
41124 silly move move source node_modules away /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/escodegen/node_modules/esprima/node_modules
41125 silly move move module dir to final dest /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/escodegen/node_modules/esprima /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/jest-environment-jsdom/node_modules/esprima
41126 info lifecycle esprima@3.1.3~preinstall: esprima@3.1.3
41127 silly lifecycle esprima@3.1.3~preinstall: no script for preinstall, continuing
41128 silly move /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/braces/node_modules/extend-shallow /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/micromatch/node_modules/braces/node_modules/extend-shallow
41129 info lifecycle extend-shallow@2.0.1~preuninstall: extend-shallow@2.0.1
41130 silly lifecycle extend-shallow@2.0.1~preuninstall: no script for preuninstall, continuing
41131 info lifecycle extend-shallow@2.0.1~uninstall: extend-shallow@2.0.1
41132 silly lifecycle extend-shallow@2.0.1~uninstall: no script for uninstall, continuing
41133 verbose unbuild rmStuff extend-shallow@2.0.1 from /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules
41134 verbose unbuild rmStuff in /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/braces/node_modules
41135 info lifecycle extend-shallow@2.0.1~postuninstall: extend-shallow@2.0.1
41136 silly lifecycle extend-shallow@2.0.1~postuninstall: no script for postuninstall, continuing
41137 silly move move existing destination node_modules away /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/micromatch/node_modules/braces/node_modules/extend-shallow/node_modules
41138 silly move remove existing destination /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/micromatch/node_modules/braces/node_modules/extend-shallow
41139 silly move make sure destination parent exists /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/micromatch/node_modules/braces/node_modules
41140 silly move move source node_modules away /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/braces/node_modules/extend-shallow/node_modules
41141 silly move move module dir to final dest /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/braces/node_modules/extend-shallow /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/micromatch/node_modules/braces/node_modules/extend-shallow
41142 info lifecycle extend-shallow@2.0.1~preinstall: extend-shallow@2.0.1
41143 silly lifecycle extend-shallow@2.0.1~preinstall: no script for preinstall, continuing
41144 silly move /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/base/node_modules/is-accessor-descriptor /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/micromatch/node_modules/is-accessor-descriptor
41145 info lifecycle is-accessor-descriptor@1.0.0~preuninstall: is-accessor-descriptor@1.0.0
41146 silly lifecycle is-accessor-descriptor@1.0.0~preuninstall: no script for preuninstall, continuing
41147 info lifecycle is-accessor-descriptor@1.0.0~uninstall: is-accessor-descriptor@1.0.0
41148 silly lifecycle is-accessor-descriptor@1.0.0~uninstall: no script for uninstall, continuing
41149 verbose unbuild rmStuff is-accessor-descriptor@1.0.0 from /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules
41150 verbose unbuild rmStuff in /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/base/node_modules
41151 info lifecycle is-accessor-descriptor@1.0.0~postuninstall: is-accessor-descriptor@1.0.0
41152 silly lifecycle is-accessor-descriptor@1.0.0~postuninstall: no script for postuninstall, continuing
41153 silly move move existing destination node_modules away /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/micromatch/node_modules/is-accessor-descriptor/node_modules
41154 silly move remove existing destination /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/micromatch/node_modules/is-accessor-descriptor
41155 silly move make sure destination parent exists /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/micromatch/node_modules
41156 silly move move source node_modules away /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/base/node_modules/is-accessor-descriptor/node_modules
41157 silly move move module dir to final dest /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/base/node_modules/is-accessor-descriptor /mnt/d/Dropbox/School/3.Junear/SoftEng/TIED/node_modules/micromatch/node_modules/is-accessor-descriptor
41158 info lifecycle is-accessor-descriptor@1.0.0~preinstall: is-accessor-descriptor@1.0.0
41159 silly lifecycle is-accessor-descriptor@1.0.0~preinstall: no script for preinstall, continuing
